Company_Code,Company_Name,Metric_Category,Metric_Name,Claimed_Value,Metric_Unit,Claim_Verified,Verification_Details,Discrepancy_Detected,Discrepancy_Level,Trust_Score,Risk_Score,Actual_Environmental_Score,Analysis_Date
LTTS,L&T Technology Services,Social,Training Hours per Employee,278.2,Hours,Reported,Social metric: 278.2,False,None,6.0,1,2.0,2026-09-03
LTTS,L&T Technology Services,Social,Health and Safety Incidents,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
LTTS,L&T Technology Services,Social,CSR Expenditure,,Crores INR,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
LTTS,L&T Technology Services,Governance,Board Size,2024.0,Count,Reported,Governance metric: 2024.0,False,None,6.0,1,2.0,2026-09-03
LTTS,L&T Technology Services,Governance,Independent Directors Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
LTTS,L&T Technology Services,Governance,Female Directors Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
LTTS,L&T Technology Services,Governance,Board Meeting Frequency,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
LTTS,L&T Technology Services,Governance,Audit Committee Size,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
LTTS,L&T Technology Services,Governance,Ethics Policy Violations,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
TATAELXSI,Tata Elxsi,Environmental,Total Energy Consumption,1.0,GWh,Reported,Environmental metric: 1.0,False,None,6.0,1,2.0,2026-09-03
TATAELXSI,Tata Elxsi,Environmental,Renewable Energy Percentage,51.15,%,Suspicious,Claims 51.15% renewable but poor env score (2.0/10),True,Medium,4.0,5,2.0,2026-09-03
TATAELXSI,Tata Elxsi,Environmental,Total Water Consumption,,KL,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
TATAELXSI,Tata Elxsi,Environmental,Water Recycled Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
TATAELXSI,Tata Elxsi,Environmental,Total Waste Generated,,MT,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
TATAELXSI,Tata Elxsi,Environmental,Waste Recycled Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
TATAELXSI,Tata Elxsi,Social,Total Employees,12414.0,Count,Reported,Social metric: 12414.0,False,None,6.0,1,2.0,2026-09-03
TATAELXSI,Tata Elxsi,Social,Female Employee Percentage,0.04,%,Reported,Social metric: 0.04,False,None,6.0,1,2.0,2026-09-03
TATAELXSI,Tata Elxsi,Social,Employee Turnover Rate,90.0,%,Reported,Social metric: 90.0,False,None,6.0,1,2.0,2026-09-03
TATAELXSI,Tata Elxsi,Social,Training Hours per Employee,,Hours,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
TATAELXSI,Tata Elxsi,Social,Health and Safety Incidents,2023.0,Count,Reported,Social metric: 2023.0,False,None,6.0,1,2.0,2026-09-03
